Date,Close/Last,Volume,Open,High,Low
06/26/2024,$126.40,362975900,$126.13,$128.12,$122.60
06/25/2024,$126.09,425787500,$121.20,$126.50,$119.32
06/24/2024,$118.11,476060900,$123.24,$124.46,$118.04
06/21/2024,$126.57,655484700,$127.12,$130.63,$124.30
06/20/2024,$130.78,517768400,$139.80,$140.76,$129.52
06/18/2024,$135.58,294335100,$131.14,$136.33,$130.69
06/17/2024,$130.98,288504400,$132.99,$133.73,$129.58
06/14/2024,$131.88,309320400,$129.96,$132.84,$128.32
06/13/2024,$129.61,260704500,$129.39,$129.80,$127.16
06/12/2024,$125.20,299595000,$123.06,$126.88,$122.57
06/11/2024,$120.91,222551200,$121.77,$122.87,$118.74
06/10/2024,$121.79,314162700,$120.37,$123.10,$117.01
06/07/2024,$120.888,412385800,$119.77,$121.6917,$118.022
06/06/2024,$120.998,664696200,$124.048,$125.587,$118.32
06/05/2024,$122.44,528401800,$118.371,$122.4495,$117.468
06/04/2024,$116.437,403324000,$115.716,$116.60,$114.045
06/03/2024,$115.00,438391800,$113.621,$115.00,$112.003
05/31/2024,$109.633,613262500,$112.52,$112.717,$106.94
05/30/2024,$110.50,487350300,$114.65,$115.8191,$109.663
05/29/2024,$114.825,557441900,$113.05,$115.492,$110.901
05/28/2024,$113.901,652727900,$110.244,$114.939,$109.883
05/24/2024,$106.469,429493700,$104.449,$106.475,$103.00
05/23/2024,$103.799,835065300,$102.028,$106.32,$101.52
05/22/2024,$94.95,548648000,$95.459,$96.02,$93.249
05/21/2024,$95.386,328946500,$93.599,$95.40,$93.18
05/20/2024,$94.78,318764500,$93.75,$95.20,$93.44
05/17/2024,$92.479,359691000,$94.369,$94.74,$91.806
05/16/2024,$94.359,323951800,$94.91,$95.819,$94.103
05/15/2024,$94.63,417735500,$92.472,$94.862,$91.599
05/14/2024,$91.356,296507100,$89.599,$91.651,$88.934
05/13/2024,$90.399,289680200,$90.478,$90.998,$88.529
05/10/2024,$89.878,335325400,$90.3045,$91.401,$89.227
05/09/2024,$88.747,378012700,$90.529,$91.072,$88.231
05/08/2024,$90.412,325721000,$89.4825,$91.194,$89.42
05/07/2024,$90.554,437341600,$91.098,$91.781,$89.011
05/06/2024,$92.14,376202600,$89.39,$92.22,$89.055
05/03/2024,$88.789,398340700,$87.789,$89.281,$87.04
05/02/2024,$85.817,377897500,$84.449,$86.237,$83.20
05/01/2024,$83.041,559863200,$85.077,$86.00,$81.2546
04/30/2024,$86.402,363708700,$87.24,$88.819,$86.30
04/29/2024,$87.757,388970800,$87.595,$87.992,$85.266
04/26/2024,$87.735,551010800,$83.818,$88.3309,$83.387
